ticker,event_date,horizon,direction,surprise_pct,stock_return,spy_return,abnormal_return,direction_correct
NVDA,2023-05-24,10,long,18.8,27.487524892643382,4.388345943487358,23.099178949156023,True
JPM,2025-07-15,1,long,10.89,-0.7569485516342244,0.33431911185151403,-1.0912676634857386,False
JPM,2025-07-15,3,long,10.89,1.1354070366489455,0.8743981766246918,0.2610088600242536,True
JPM,2025-07-15,5,long,10.89,1.1909616842953383,1.0801383420815365,0.11082334221380191,True
JPM,2025-07-15,10,long,10.89,3.138882616152442,2.1088490630981687,1.0300335530542732,True
JPM,2025-04-11,1,long,9.15,3.716140322692733,0.9701553626786408,2.7459849600140926,True
JPM,2025-04-11,3,long,9.15,1.4581854260323979,-1.5507362534345313,3.008921679466929,True
JPM,2025-04-11,5,long,9.15,1.1842191377350864,-3.756958669078373,4.941177806813459,True
JPM,2025-04-11,10,long,9.15,7.472060711656529,3.1670413568208025,4.305019354835727,True
JPM,2025-01-15,1,long,19.18,1.5455265785423487,-0.19232784062485864,1.7378544191672074,True
JPM,2025-01-15,3,long,19.18,5.043939926061344,1.7324965421831717,3.3114433838781725,True
JPM,2025-01-15,5,long,19.18,6.210061125324834,2.86276209395004,3.347299031374794,True
JPM,2025-01-15,10,long,19.18,7.120605531708009,2.0682032629088782,5.05240226879913,True
JPM,2024-10-11,1,long,9.63,2.693915857168341,0.817812799111727,1.8761030580566134,True
JPM,2024-10-11,3,long,9.63,3.6954694877989933,0.46930626607478476,3.2261632217242084,True
JPM,2024-10-11,5,long,9.63,4.49761811889914,0.864400396927191,3.6332177219719495,True
JPM,2024-10-11,10,long,9.63,3.078777086062746,-0.09317519563092803,3.171952281693674,True
JPM,2024-07-12,1,long,20.16,2.9656987057401984,0.2749897337907964,2.690708971949402,True
JPM,2024-07-12,3,long,20.16,6.308830348812468,-0.5446599575552066,6.853490306367674,True
JPM,2024-07-12,5,long,20.16,2.8333459867329385,-1.9643347997226734,4.7976807864556115,True
JPM,2024-07-12,10,long,20.16,4.039218595855427,-2.776862134547992,6.816080730403419,True
JPM,2024-04-12,1,long,7.4,-2.883397482005259,-1.252810121172535,-1.6305873608327242,False
JPM,2024-04-12,3,long,7.4,-4.375538021123158,-2.016250085210817,-2.3592879359123415,False
JPM,2024-04-12,5,long,7.4,-1.3381644144064724,-3.07134051515186,1.7331761007453876,True
JPM,2024-04-12,10,long,7.4,2.7453102678125494,-0.5069936510139444,3.2523039188264935,True
JPM,2024-01-12,1,short,-15.65,-3.342904570665338,-0.36712142412168264,2.9757831465436553,True
JPM,2024-01-12,3,short,-15.65,-3.67087823344202,-0.03985788253930037,3.63102035090272,True
JPM,2024-01-12,5,short,-15.65,-2.1231207747214675,1.4202470675610515,3.5433678422825197,True
JPM,2024-01-12,10,short,-15.65,-0.6156406225814322,3.0607485703722856,3.676389192953718,True
