ticker,date,h,stk,spy,abn,period,price
LSDIF,2023-03-24,5,-0.16129032754253042,0.03647008078087564,-0.19776040832340605,disc,12.399999618530273
LSDIF,2023-03-24,10,-0.3145161079442457,0.0333678309974674,-0.3478839389417131,disc,12.399999618530273
TRNR,2024-06-24,1,-0.22007722007722008,0.0012480822540089924,-0.22132530233122907,disc,25900.0
TRNR,2024-06-24,3,-0.4555984555984556,-0.0011197003975244482,-0.4544787552009311,disc,25900.0
TRNR,2024-06-24,5,-0.4749034749034749,0.007672104224558464,-0.48257557912803334,disc,25900.0
TRNR,2024-06-24,10,-0.6525096525096525,0.030266302731363205,-0.6827759552410158,disc,25900.0
ACHV,2022-11-18,1,0.1520000457763672,0.013456999943928523,0.13854304583243868,disc,2.5
ACHV,2022-11-18,3,0.1640000343322754,0.019615272323698706,0.1443847620085767,disc,2.5
ACHV,2022-11-18,5,0.10799999237060547,0.0016219738320214542,0.10637801853858402,disc,2.5
ACHV,2022-11-18,10,0.05200004577636719,-0.0019260745905332012,0.053926120366900386,disc,2.5
HLYK,2024-06-05,1,0.019230843295715158,-0.0012156574487586515,0.02044650074447381,disc,5.199999809265137
HLYK,2024-06-05,3,0.3076923923379602,0.004283169074788675,0.30340922326317155,disc,5.199999809265137
HLYK,2024-06-05,5,0.6153846012770067,0.014570080899611627,0.600814520377395,disc,5.199999809265137
HLYK,2024-06-05,10,0.6153846012770067,0.018422992398630617,0.596961608878376,disc,5.199999809265137
FUBO,2022-08-08,1,0.06077355634911331,0.02100397229284381,0.0397695840562695,disc,43.439998626708984
FUBO,2022-08-08,3,0.20165751411521457,0.038288561483663955,0.1633689526315506,disc,43.439998626708984
FUBO,2022-08-08,5,0.7541436316112311,0.044609227740956624,0.7095344038702744,disc,43.439998626708984
FUBO,2022-08-08,10,0.0966851034925469,0.0024310197767405685,0.09425408371580633,disc,43.439998626708984
ALGS,2023-10-25,1,-0.03281247615814209,-0.0045327722034158085,-0.02827970395472628,disc,16.0
ALGS,2023-10-25,3,-0.0625,0.013695369243103382,-0.07619536924310338,disc,16.0
ALGS,2023-10-25,5,0.171875,0.044140158796452666,0.12773484120354733,disc,16.0
ALGS,2023-10-25,10,0.203125,0.05160588819507106,0.15151911180492894,disc,16.0
HYLN,2022-08-25,1,-0.02380950128320286,-0.006612204712255626,-0.017197296570947235,disc,3.7799999713897705
HYLN,2022-08-25,3,-0.07142856692330724,-0.024993227267600407,-0.04643533965570683,disc,3.7799999713897705
HYLN,2022-08-25,5,-0.11640213242083353,-0.032246940373903014,-0.0841551920469305,disc,3.7799999713897705
HYLN,2022-08-25,10,-0.14285713384661447,0.013964628793276028,-0.1568217626398905,disc,3.7799999713897705
BKYI,2022-12-23,1,-0.03571425192480429,-0.012427871814967776,-0.023286380109836517,disc,10.079999923706055
BKYI,2022-12-23,3,0.053571425192480426,0.0027005736648659374,0.05087085152761449,disc,10.079999923706055
BKYI,2022-12-23,5,0.26785712596240213,0.00618777112456157,0.26166935483784054,disc,10.079999923706055
BKYI,2022-12-23,10,0.41071432288271525,0.0370214875279201,0.37369283535479514,disc,10.079999923706055
INLX,2022-04-05,1,0.0,0.005038968143330103,-0.005038968143330103,disc,4.760000228881836
INLX,2022-04-05,3,0.2773108469228578,-0.014780918544131329,0.2920917654669891,disc,4.760000228881836
INLX,2022-04-05,5,0.2773108469228578,-0.007188908747778006,0.2844997556706358,disc,4.760000228881836
