ticker,cluster_date,n_insiders,total_value,window_start,window_end,spy_5d_prior,spy_10d_prior,vix
FRSH,2022-03-15,10,947613051.3,2022-03-15,2022-03-15,2.3832008603162054,-0.8860899682303797,29.829999923706055
OTMO,2022-03-15,3,6555373.2,2022-03-15,2022-03-15,2.3832008603162054,-0.8860899682303797,29.829999923706055
BLI,2022-03-15,3,857640.0,2022-03-11,2022-03-15,2.3832008603162054,-0.8860899682303797,29.829999923706055
PCOR,2022-03-16,7,417982821.41,2022-03-16,2022-03-16,1.920855727333719,-0.5184021688226863,26.670000076293945
ML,2022-03-16,5,1182130.58,2022-03-16,2022-03-16,1.920855727333719,-0.5184021688226863,26.670000076293945
ASPS,2022-03-17,6,1133622.84,2022-03-17,2022-03-17,3.6641060834481682,1.2302024125447695,25.670000076293945
CFLT,2022-03-18,3,21269793.0,2022-03-18,2022-03-18,6.149197468859981,3.1771890282288884,23.8700008392334
ALOR,2022-03-18,3,27450000.0,2022-03-18,2022-03-18,6.149197468859981,3.1771890282288884,23.8700008392334
CPNG,2022-03-21,3,11310000.0,2022-03-21,2022-03-21,6.899437932071634,6.280081976386476,23.530000686645508
GMS,2022-03-22,6,76980951.78,2022-03-22,2022-03-22,5.823187554507934,8.345166670720998,22.940000534057617
KODK,2022-03-22,13,200788043.69,2022-03-22,2022-03-22,5.823187554507934,8.345166670720998,22.940000534057617
ANIP,2022-03-22,3,690400.0,2022-03-21,2022-03-22,5.823187554507934,8.345166670720998,22.940000534057617
TRSSF,2022-03-23,6,7441700.0,2022-03-23,2022-03-23,2.194271603464013,4.157276122566128,23.56999969482422
BNFT,2022-03-23,3,10220673.36,2022-03-23,2022-03-23,2.194271603464013,4.157276122566128,23.56999969482422
LMB,2022-03-24,4,242847.48,2022-03-24,2022-03-24,2.4529923926900175,6.206978719625261,21.670000076293945
FMCB,2022-03-25,4,298265.0,2022-03-25,2022-03-25,1.8379286870900475,8.10014402025602,20.809999465942383
LCTX,2022-03-25,3,3951435.66,2022-03-25,2022-03-25,1.8379286870900475,8.10014402025602,20.809999465942383
SXT,2022-03-25,3,7513071.63,2022-03-25,2022-03-25,1.8379286870900475,8.10014402025602,20.809999465942383
KFS,2022-03-28,6,330000.0,2022-03-28,2022-03-28,2.5923148300414924,9.670607914815728,19.6299991607666
PFMT,2022-03-28,5,1420000.0,2022-03-28,2022-03-28,2.5923148300414924,9.670607914815728,19.6299991607666
ICVX,2022-03-30,5,3970952.7,2022-03-30,2022-03-30,3.3573706105154475,5.625312043909048,19.329999923706055
